Shipping_Mode,Order_Priority,Customer_Segment,Market,Product_Category,Order_Quantity,Discount,Price,Days_for_Shipment_Scheduled,Order_Weekday,Order_Month,Late_Delivery_Risk
Second Class,High,Home Office,Pacific Asia,Furniture,4,0.11,691.69,5,Sunday,8,0
Standard Class,Low,Home Office,USCA,Apparel,15,0.35,1042.48,5,Monday,2,1
Standard Class,Medium,Home Office,Africa,Electronics,17,0.3,716.85,1,Tuesday,11,1
Second Class,High,Home Office,USCA,Office Supplies,2,0.19,893.82,2,Tuesday,10,0
Standard Class,Low,Consumer,Europe,Electronics,8,0.14,883.95,2,Thursday,10,1
Standard Class,Medium,Home Office,LATAM,Office Supplies,6,0.16,598.3,2,Wednesday,8,1
Second Class,Critical,Consumer,USCA,Apparel,7,0.21,677.35,7,Saturday,10,0
Standard Class,Critical,Home Office,USCA,Furniture,16,0.17,94.83,6,Sunday,1,1
Same Day,Low,Consumer,Europe,Apparel,5,0.17,1114.0,4,Wednesday,5,0
Same Day,Low,Corporate,Europe,Office Supplies,18,0.08,812.47,7,Thursday,12,0
Same Day,Low,Consumer,USCA,Furniture,11,0.28,193.85,2,Wednesday,3,0
Standard Class,Medium,Corporate,Africa,Electronics,2,0.24,300.37,6,Monday,8,1
Standard Class,Medium,Consumer,USCA,Electronics,7,0.4,15.54,1,Saturday,11,1
Same Day,Medium,Consumer,Africa,Grocery,15,0.06,324.17,3,Tuesday,10,0
Standard Class,Low,Home Office,LATAM,Electronics,9,0.05,386.78,3,Thursday,6,0
Same Day,Low,Corporate,Pacific Asia,Grocery,2,0.21,822.94,2,Monday,8,0
Same Day,Medium,Consumer,LATAM,Furniture,4,0.06,577.22,4,Tuesday,2,0
First Class,Medium,Consumer,USCA,Apparel,15,0.24,1012.91,3,Monday,5,0
Standard Class,Medium,Consumer,USCA,Apparel,8,0.08,113.28,7,Sunday,2,0
Standard Class,Medium,Corporate,Africa,Furniture,4,0.19,851.36,6,Tuesday,10,1
First Class,Low,Home Office,Europe,Furniture,8,0.24,1051.12,4,Tuesday,8,0
Standard Class,Low,Corporate,Africa,Office Supplies,7,0.18,511.38,6,Wednesday,6,1
Standard Class,Low,Consumer,Europe,Electronics,13,0.13,353.59,2,Friday,3,1
Second Class,Low,Consumer,Europe,Electronics,5,0.31,540.22,4,Saturday,3,0
Same Day,Low,Home Office,Europe,Electronics,18,0.34,948.72,5,Thursday,1,0
Second Class,Low,Consumer,Europe,Grocery,19,0.11,1103.66,5,Sunday,1,0
Second Class,Low,Corporate,USCA,Electronics,11,0.33,88.05,5,Wednesday,2,0
Standard Class,Low,Consumer,Pacific Asia,Office Supplies,6,0.16,638.94,7,Sunday,11,0
Second Class,Medium,Corporate,Pacific Asia,Apparel,4,0.2,771.26,6,Saturday,10,0
Same Day,Low,Home Office,LATAM,Apparel,3,0.09,30.8,6,Wednesday,5,0
Standard Class,Medium,Consumer,LATAM,Grocery,6,0.25,225.69,1,Thursday,12,1
Standard Class,Medium,Corporate,LATAM,Office Supplies,15,0.04,84.45,1,Wednesday,7,1
First Class,Medium,Corporate,Africa,Furniture,3,0.24,355.54,2,Friday,12,1
Second Class,Critical,Consumer,LATAM,Apparel,17,0.4,254.43,6,Saturday,9,1
Second Class,Low,Consumer,LATAM,Office Supplies,2,0.3,589.29,4,Saturday,4,0
Second Class,Medium,Corporate,LATAM,Furniture,16,0.36,789.86,4,Sunday,11,0
Standard Class,Critical,Consumer,USCA,Grocery,17,0.19,1012.24,6,Thursday,10,1
Standard Class,High,Home Office,LATAM,Electronics,11,0.06,372.13,5,Friday,7,0
First Class,Low,Consumer,Pacific Asia,Office Supplies,4,0.12,69.98,6,Monday,4,0
First Class,Low,Consumer,USCA,Apparel,12,0.02,14.58,5,Monday,5,0
First Class,Low,Consumer,Europe,Grocery,8,0.2,1015.02,7,Wednesday,2,0
Same Day,Medium,Consumer,Africa,Office Supplies,3,0.26,1054.98,6,Thursday,1,0
Standard Class,Medium,Consumer,USCA,Grocery,11,0.17,130.18,5,Thursday,8,0
Standard Class,Low,Consumer,USCA,Furniture,13,0.23,22.11,4,Wednesday,3,0
First Class,Medium,Corporate,Pacific Asia,Office Supplies,9,0.13,962.32,4,Wednesday,11,0
Second Class,Medium,Home Office,LATAM,Electronics,15,0.03,772.47,6,Saturday,2,0
Second Class,Medium,Corporate,Europe,Furniture,12,0.17,671.81,5,Monday,11,0
First Class,High,Consumer,Pacific Asia,Electronics,10,0.22,644.51,4,Tuesday,8,0
First Class,High,Home Office,Pacific Asia,Grocery,4,0.39,930.77,1,Saturday,4,0
Standard Class,Low,Consumer,USCA,Electronics,7,0.14,359.04,2,Wednesday,3,1
Standard Class,Medium,Consumer,Europe,Furniture,9,0.27,473.05,5,Sunday,6,0
Standard Class,Low,Consumer,Pacific Asia,Furniture,6,0.33,102.64,3,Sunday,8,0
Second Class,Medium,Consumer,Africa,Furniture,7,0.13,683.69,1,Saturday,10,1
Standard Class,Critical,Home Office,Africa,Grocery,17,0.37,1153.37,7,Thursday,6,1
Standard Class,High,Consumer,Pacific Asia,Apparel,4,0.14,347.78,5,Wednesday,8,0
Standard Class,Medium,Corporate,USCA,Grocery,2,0.39,1115.81,5,Monday,11,0
Standard Class,Low,Consumer,Africa,Furniture,17,0.0,877.76,4,Sunday,6,1
Second Class,Low,Corporate,USCA,Grocery,7,0.25,288.32,1,Tuesday,6,0
Standard Class,Medium,Corporate,LATAM,Office Supplies,11,0.32,798.8,2,Wednesday,12,1
Standard Class,Low,Consumer,LATAM,Office Supplies,18,0.11,445.82,6,Wednesday,10,0
First Class,Medium,Corporate,USCA,Apparel,7,0.05,155.54,3,Sunday,2,0
Standard Class,Low,Corporate,Pacific Asia,Grocery,18,0.01,120.34,7,Thursday,8,0
Standard Class,Low,Corporate,LATAM,Grocery,19,0.03,30.5,5,Thursday,11,0
Standard Class,Low,Corporate,LATAM,Office Supplies,14,0.22,959.39,2,Tuesday,3,1
First Class,Critical,Corporate,Africa,Furniture,8,0.34,1062.97,6,Saturday,11,1
Standard Class,Medium,Consumer,Pacific Asia,Electronics,7,0.03,584.22,3,Saturday,2,0
Second Class,Low,Corporate,USCA,Furniture,1,0.05,628.71,7,Sunday,7,0
Standard Class,Low,Consumer,LATAM,Apparel,6,0.0,832.99,6,Monday,10,0
Standard Class,Medium,Consumer,Pacific Asia,Electronics,4,0.11,844.08,2,Friday,11,1
Standard Class,Low,Home Office,LATAM,Furniture,16,0.37,395.71,4,Sunday,5,1
Standard Class,Medium,Consumer,Africa,Grocery,15,0.11,199.43,1,Monday,5,1
